vertical_wire_distance_mm,vertical_wire_profile,horizontal_wire_distance_mm,horizontal_wire_profile
-6.9,0.0202379506565338,-6.16666666666666,0.0191880272110423
-6.86666666666667,0.0147055096874506,-6.13333333333333,0.0212260037004934
-6.83333333333334,0.0151490959502006,-6.1,0.0276539016651603
-6.8,0.00851482203555292,-6.06666666666666,0.0326624515272113
-6.76666666666667,0.0087733430368196,-6.03333333333333,0.0371034600427467
-6.73333333333334,0.0106112971566652,-6,0.0293018652185622
-6.7,0.0176443679405529,-5.96666666666666,0.0405026799015018
-6.66666666666667,0.0163980735631547,-5.93333333333333,0.0354742271436539
-6.63333333333334,0.00876114558053309,-5.9,0.031859973449199
-6.6,0.00619438576655074,-5.86666666666666,0.0416298310573702
-6.56666666666667,0.00778768253143403,-5.83333333333333,0.0526502812617279
-6.53333333333334,0.00747158698403374,-5.8,0.0473421102568405
-6.5,0.00940939669883408,-5.76666666666666,0.0407069870973516
-6.46666666666667,0.00670424148759822,-5.73333333333333,0.0517185761644419
-6.43333333333334,0.00548661581986364,-5.7,0.0338822444236641
-6.4,0.00747882447230501,-5.66666666666666,0.0214840685674715
-6.36666666666667,0.00609053683013014,-5.63333333333333,0.0184184443719824
-6.33333333333334,0.0135064248150208,-5.6,0.022838558943474
-6.3,0.0111626823684832,-5.56666666666666,0.022818604053095
-6.26666666666667,0.0198700968660266,-5.53333333333333,0.0362781201045371
-6.23333333333334,0.0183096417699202,-5.5,0.0312533006650639
-6.2,0.0196615465971574,-5.46666666666666,0.0336919064388762
-6.16666666666667,0.020536806060979,-5.43333333333333,0.0257721074468268
-6.13333333333334,0.0191721877706176,-5.4,0.0336753185915877
-6.1,0.018170795752955,-5.36666666666666,0.0462910665644435
-6.06666666666667,0.0159470662555027,-5.33333333333333,0.0339599589924009
-6.03333333333334,0.0122527204218742,-5.3,0.0421749895240814
-6,0.0133509547121189,-5.26666666666666,0.0390565215016346
-5.96666666666667,0.0151369560030731,-5.23333333333333,0.0319542569581036
-5.93333333333334,0.0165497118229139,-5.2,0.0338741049081728
-5.9,0.0187268793842842,-5.16666666666666,0.0362797083026818
-5.86666666666667,0.0269831526487368,-5.13333333333333,0.0279874673921517
-5.83333333333334,0.0278791674043833,-5.1,0.0309052898978044
-5.8,0.0196690653288501,-5.06666666666666,0.0290621827997524
-5.76666666666667,0.0130666325811719,-5.03333333333333,0.0257059325241331
-5.73333333333334,0.0190250446788213,-5,0.0316338505871678
-5.7,0.0222798251640502,-4.96666666666666,0.0414994128894881
-5.66666666666667,0.028451870394869,-4.93333333333333,0.0406667243836727
-5.63333333333334,0.0272990181595011,-4.9,0.0389955523395261
-5.6,0.0283221234297742,-4.86666666666666,0.0358613157783574
-5.56666666666667,0.0212537530514096,-4.83333333333333,0.0419529127858949
-5.53333333333334,0.0253092768863202,-4.8,0.037455652434883
-5.5,0.0246673045077081,-4.76666666666666,0.040078807463341
-5.46666666666667,0.0301543967476253,-4.73333333333333,0.0360349524731321
-5.43333333333334,0.0414997343105411,-4.7,0.0329523197469173
-5.4,0.0514738739050678,-4.66666666666666,0.0291686235873118
-5.36666666666667,0.0393749709855707,-4.63333333333333,0.0372223921347613
-5.33333333333334,0.040486249613553,-4.6,0.0364155843260928
-5.3,0.0426361594091471,-4.56666666666666,0.0384635847407385
-5.26666666666667,0.0444830006635511,-4.53333333333333,0.0524172509982422
-5.23333333333334,0.0434335987394742,-4.5,0.0395639539600367
-5.2,0.0371804435361471,-4.46666666666666,0.0413324724666526
-5.16666666666667,0.0155457421344531,-4.43333333333333,0.0514682710949464
-5.13333333333334,0.0102885841169956,-4.4,0.0527814147490124
-5.1,0.0152863112279994,-4.36666666666666,0.0485301643998947
-5.06666666666667,0.0163786858863988,-4.33333333333333,0.0522992453551453
-5.03333333333334,0.0198992626754072,-4.3,0.051467401367391
-5,0.0276147607739804,-4.26666666666666,0.0541199254567778
-4.96666666666667,0.03181929793005,-4.23333333333333,0.0506479793579823
-4.93333333333334,0.0337266577268508,-4.2,0.0462678265618308
-4.9,0.041063143682476,-4.16666666666666,0.0519319808365688
-4.86666666666667,0.0409029940671836,-4.13333333333333,0.0432222801530056
-4.83333333333334,0.0511779396507815,-4.1,0.0383599012416247
