-74.28	-32.7	58.43
32.73	74.34	58.33
26.09	-76.99	58.24
-71.3	39.2	58.14
79.12	19.26	58.05
-45.38	-67.69	57.95
-12.25	80.64	57.86
63.55	-51.24	57.76
-81.54	-5.13	57.67
56.72	58.9	57.57
-2.06	-81.81	57.48
-53.77	61.77	57.38
81.44	-9.25	57.29
-66.37	-48.22	57.19
16.4	80.44	57.1
42.27	-70.46	57
-78.82	23.44	56.9
74.02	35.97	56.81
-30.32	-76.58	56.71
-29.38	77.01	56.62
73.74	-36.99	56.52
-79.42	-22.53	56.43
43.39	70.31	56.33
15.49	-81.22	56.24
-66.33	49.48	56.14
82.4	8.31	56.05
-55.2	-61.82	55.95
-1.04	82.94	55.86
56.82	-60.51	55.76
-82.84	6.26	55.67
65.37	51.37	55.57
-13.53	-82.09	55.48
-45.5	69.74	55.38
80.71	-20.72	55.29
-73.57	-39.25	55.19
27.78	78.7	55.1
32.69	-76.85	55
-76.07	34.63	54.9
79.55	25.85	54.81
-41.24	-72.84	54.71
-18.79	81.63	54.62
69.04	-47.55	54.52
-83.09	-11.56	54.43
53.51	64.69	54.33
4.22	-83.91	54.24
-59.82	59.08	54.14
84.08	-3.17	54.05
-64.2	-54.48	53.95
10.56	83.59	53.86
48.7	-68.83	53.76
-82.46	17.89	53.67
72.95	42.53	53.57
-25.1	-80.69	53.48
-36	76.51	53.38
78.28	-32.14	53.29
-79.49	-29.18	53.19
38.94	75.26	53.1
22.12	-81.86	53
-71.65	45.47	52.9
83.61	14.86	52.81
-51.66	-67.47	52.71
-7.47	84.71	52.62
62.76	-57.47	52.52
-85.15	0	52.43
62.85	57.55	52.33
-7.49	-84.94	52.24
-51.87	67.75	52.14
84.07	-14.94	52.05
-72.14	-45.78	51.95
22.3	82.54	51.86
39.32	-75.99	51.76
-80.37	29.51	51.67
79.26	32.54	51.57
-36.5	-77.57	51.48
-25.48	81.92	51.38
74.17	-43.23	51.29
-83.95	-18.21	51.19
49.65	70.17	51.1
10.78	-85.34	51
-65.63	55.69	50.9
86.07	3.25	50.81
-61.32	-60.56	50.71
4.33	86.13	50.62
55.01	-66.49	50.52
-85.53	11.9	50.43
71.16	49.02	50.33
-19.39	-84.26	50.24
-42.63	75.29	50.14
82.34	-26.75	50.05
-78.84	-35.9	49.95
33.93	79.77	49.86
28.87	-81.79	49.76
-76.58	40.85	49.67
84.12	21.6	49.57
-47.48	-72.78	49.48
-14.14	85.8	49.38
68.42	-53.76	49.29
-86.82	-6.56	49.19
59.64	63.51	49.1
-1.1	-87.17	49
-58.09	65.07	48.9
86.84	-8.76	48.81
-70	-52.22	48.71
16.37	85.84	48.62
45.92	-74.41	48.52
-84.17	23.88	48.43
78.25	39.25	48.33
-31.22	-81.84	48.24
-32.27	81.49	48.14
78.88	-38.34	48.05
-84.11	-25.01	47.95
45.17	75.3	47.86
17.55	-86.09	47.76
-71.12	51.67	47.67
87.4	9.93	47.57
-57.79	-66.38	47.48
-2.21	88.03	47.38
61.12	-63.47	47.29
-87.99	5.54	47.19
68.67	55.37	47.1
-13.26	-87.26	47
-49.18	73.36	46.9
85.86	-20.9	46.81
-77.48	-42.6	46.71
28.39	83.79	46.62
35.66	-81.02	46.52
-81.06	35.68	46.43
83.93	28.44	46.33
-42.72	-77.7	46.24
-20.98	86.2	46.14
73.73	-49.43	46.05
-87.81	-13.34	45.95
55.78	69.18	45.86
5.58	-88.74	45.76
-64.08	61.71	45.67
88.98	-2.24	45.57
-67.17	-58.48	45.48
10.06	88.54	45.38
52.41	-72.13	45.29
-87.41	17.82	45.19
76.54	45.92	45.1
-25.45	-85.6	45
-39.06	80.36	44.9
83.12	-32.91	44.81
-83.57	-31.88	44.71
40.13	79.99	44.62
24.44	-86.14	44.52
-76.24	47.05	44.43
88.05	16.8	44.33
-53.62	-71.89	44.24
-9.01	89.28	44.14
66.97	-59.79	44.05
-89.82	-1.13	43.95
65.51	61.52	43.86
-6.77	-89.66	43.76
-55.58	70.74	43.67
88.81	-14.64	43.57
-75.42	-49.21	43.48
22.41	87.27	43.38
42.43	-79.54	43.29
-85.05	30.02	43.19
83.04	35.32	43.1
-37.41	-82.17	43
-27.91	85.91	42.9
78.64	-44.53	42.81
-88.12	-20.28	42.71
51.32	74.5	42.62
12.47	-89.64	42.52
-69.77	57.72	42.43
90.48	4.55	42.33
-63.69	-64.49	42.24
3.42	90.62	42.14
58.71	-69.18	42.05
-90.06	11.38	41.95
74.14	52.45	41.86
-19.26	-88.8	41.76
-45.78	78.54	41.67
86.84	-27.02	41.57
-82.33	-38.74	41.48
34.57	84.22	41.38
31.39	-85.5	41.29
-80.93	41.88	41.19
88.01	23.78	41.1
-48.87	-77.01	41
-15.97	89.84	40.9
72.49	-55.5	40.81
-90.98	-8.02	40.71
61.71	67.39	40.62
0	-91.42	40.52
-61.77	67.46	40.43
91.15	-8.04	40.33
-72.69	-55.65	40.24
16.03	90.18	40.14
49.1	-77.37	40.05
-88.5	23.91	39.95
81.45	42.15	39.86
-31.62	-86.13	39.76
-34.86	84.92	39.67
83.1	-39.1	39.57
-87.73	-27.29	39.48
46.29	79.41	39.38
19.5	-89.87	39.29
-75.1	53.14	39.19
91.32	11.54	39.1
-59.58	-70.21	39
-3.47	92.06	38.9
64.76	-65.58	38.81
-92.09	4.63	38.71
71.07	58.8	38.62
-12.72	-91.4	38.52
-52.37	76.03	38.43
90.01	-20.71	38.33
-80.41	-45.53	38.24
28.57	87.92	38.14
38.32	-84.17	38.05
-85.14	36.21	37.95
87.28	30.8	37.86
-43.59	-81.7	37.76
-23.04	89.72	37.67
77.62	-50.64	37.57
-91.48	-15.08	37.48
57.31	72.93	37.38
6.99	-92.53	37.29
-67.67	63.54	37.19
92.86	-1.17	37.1
-69.3	-61.87	37
9.33	92.47	36.9
55.59	-74.53	36.81
-91.37	17.43	36.71
79.19	48.87	36.62
-25.41	-89.56	36.52
-41.76	83.24	36.43
87.05	-33.21	36.33
-86.66	-34.31	36.24
40.76	83.86	36.14
26.59	-89.41	36.05
-80.02	48	35.95
91.47	18.64	35.86
-54.89	-75.55	35.76
-10.54	92.83	35.67
70.49	-61.36	35.57
-93.47	-2.35	35.48
67.37	64.88	35.38
-5.88	-93.38	35.29
-58.75	72.87	35.19
92.58	-14.07	35.1
-77.81	-52.17	35
22.16	91.05	34.9
45.16	-82.15	34.81
-88.82	30.1	34.71
85.86	37.8	34.62
-37.81	-85.9	34.52
-30.13	88.92	34.43
82.3	-45.25	34.33
-91.29	-22.22	34.24
52.34	78.07	34.14
14.13	-92.96	34.05
-73.22	59.04	33.95
93.91	5.91	33.86
-65.29	-67.8	33.76
2.37	94.13	33.67
61.85	-71.05	33.57
